student_universityNotebook,career_id,fecha_inscripcion,fecha_egreso
144,9,10/1/2022,7/12/2023
52,4,12/11/2018,3/12/2023
206,3,3/5/2022,8/3/2023
228,6,9/13/2020,2/2/2023
19,10,9/19/2019,null
88,3,5/20/2019,null
111,4,8/26/2023,null
157,10,9/14/2023,null
128,8,12/1/2021,null
158,4,12/22/2021,null
99,1,12/22/2022,null
187,6,6/22/2023,null
206,9,4/30/2020,null
125,8,3/8/2022,null
97,11,11/29/2020,null
130,8,6/11/2018,null
244,2,9/16/2020,null
218,10,2/4/2020,null
75,1,11/11/2019,null
20,8,12/12/2019,null
65,10,7/21/2023,null
11,1,5/15/2020,null
183,2,3/5/2021,null
78,9,1/18/2022,null
145,9,2/12/2018,7/27/2023
117,4,5/1/2021,5/18/2023
175,5,12/9/2018,7/16/2023
195,3,10/20/2018,5/11/2023
226,2,10/18/2020,7/27/2023
185,2,7/25/2023,11/28/2022
36,3,10/27/2021,11/19/2022
29,8,4/14/2018,4/29/2023
96,2,12/19/2021,7/19/2023
80,5,8/4/2020,4/26/2023
49,6,12/10/2022,6/30/2023
121,2,5/24/2022,5/3/2023
212,1,2/18/2021,8/23/2023
227,11,11/21/2019,1/12/2023
50,7,3/1/2023,2/8/2023
149,5,5/25/2023,null
219,5,12/12/2020,null
34,8,12/10/2020,null
148,7,8/6/2023,null
203,8,12/2/2020,null
216,4,5/8/2023,null
84,4,2/16/2021,null
98,4,10/14/2018,7/28/2023
101,2,6/22/2023,2/24/2023
85,1,8/19/2022,12/15/2022
12,2,5/8/2018,3/21/2023
218,1,3/31/2020,4/22/2023
137,2,4/24/2019,null
90,3,3/3/2021,null
54,7,9/20/2019,null
57,4,2/6/2020,null
15,9,8/30/2021,null
63,2,8/15/2019,null
55,12,6/7/2023,null
204,9,7/11/2021,null
8,2,3/6/2022,null
109,4,4/6/2023,null
51,9,11/26/2019,null
249,9,8/18/2018,null
135,5,8/23/2020,null
33,1,5/16/2019,null
44,10,3/8/2019,null
191,1,3/23/2019,null
248,6,2/20/2021,null
131,3,11/4/2020,null
185,4,7/8/2019,null
